"Fecha","Millones de USD"
"2015/07/31",458.70802350415
"2015/08/31",502.147853429998
"2015/09/30",451.966307937462
"2015/10/31",388.726837642866
"2015/11/30",398.99797768431
"2015/12/31",497.399523538686
"2016/01/31",409.292695878176
"2016/02/29",451.424567653295
"2016/03/31",414.875968919731
"2016/04/30",399.758691616914
"2016/05/31",433.505798312638
"2016/06/30",404.300044156857
"2016/07/31",399.623242470881
"2016/08/31",453.205565767362
"2016/09/30",413.454802642137
"2016/10/31",422.422378826055
"2016/11/30",478.309006549256
"2016/12/31",467.299849713368
"2017/01/31",436.507101886555
"2017/02/28",392.882517178487
"2017/03/31",479.014783977726
"2017/04/30",401.642641970779
"2017/05/31",499.084080964699
"2017/06/30",499.389106825838
"2017/07/31",509.54163994613
"2017/08/31",503.721045342925
"2017/09/30",458.75134200533
"2017/10/31",527.605745137107
"2017/11/30",528.264701103494
"2017/12/31",547.322453017968
"2018/01/31",531.208281087989
"2018/02/28",472.963125278254
"2018/03/31",499.60257631715
"2018/04/30",535.61630963673
"2018/05/31",552.108244553777
"2018/06/30",511.203759434582
"2018/07/31",553.551658044899
"2018/08/31",606.668120750952
"2018/09/30",550.171189641008
"2018/10/31",616.870830008602
"2018/11/30",588.403357649594
"2018/12/31",617.833189572441
"2019/01/31",572.478973132833
"2019/02/28",512.254950721233
"2019/03/31",559.966687869502
"2019/04/30",596.529655788038
"2019/05/31",652.234668253577
"2019/06/30",525.745451438886
"2019/07/31",606.882642407214
"2019/08/31",680.302382191198
"2019/09/30",582.325959675309
"2019/10/31",597.330034954907
"2019/11/30",542.938164844606
"2019/12/31",657.54242356891
"2020/01/31",537.911701136287
"2020/02/29",536.382345842306
"2020/03/31",718.635702714819
"2020/04/30",349.524800470022
"2020/05/31",448.574253185287
"2020/06/30",526.424500024058
"2020/07/31",584.6446513771
"2020/08/31",635.877594956024
"2020/09/30",653.001434091677
"2020/10/31",646.585643167244
"2020/11/30",602.585957063293
"2020/12/31",668.697379893475
"2021/01/31",547.623949844663
"2021/02/28",606.018199580753
"2021/03/31",795.372420899911
"2021/04/30",709.159733909238
"2021/05/31",759.166552769792
"2021/06/30",699.009019626926
"2021/07/31",741.600045706441
"2021/08/31",744.43168408
"2021/09/30",682.83954609
"2021/10/31",664.020943412198
"2021/11/30",817.191828563331
"2021/12/31",830.811776086667
"2022/01/31",664.447252319897
"2022/02/28",647.261353775531
"2022/03/31",733.948925149341
"2022/04/30",754.836137539324
"2022/05/31",841.085731236778
"2022/06/30",821.587295558164
"2022/07/31",889.449044929068
